time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449050000	19.1595	16.5465	4.55353	2.11691	0.563306	radar	0.226312	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0208	16.7686	4.62818	2.14759	0.565956	lidar	0.338903	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8648	16.9614	4.64108	2.21231	0.653203	radar	6.11639	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6746	17.2163	4.82885	2.2506	0.658706	lidar	2.05504	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5757	17.4193	4.79695	2.22513	0.530889	radar	5.37134	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3498	17.6217	4.91717	2.2759	0.557577	lidar	3.74189	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2116	17.8151	4.90618	2.27516	0.491672	radar	1.9669	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0871	17.9979	4.85513	2.2881	0.478912	lidar	0.962218	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9116	18.1497	4.81892	2.33574	0.529069	radar	2.10651	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7929	18.2813	4.68192	2.35538	0.522107	lidar	1.05823	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6651	18.459	4.64886	2.36063	0.489316	radar	6.47715	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4611	18.6512	4.7528	2.38878	0.492915	lidar	0.582369	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2827	18.7885	4.72126	2.42697	0.52088	radar	1.81288	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1268	18.921	4.65329	2.45116	0.519154	lidar	0.245678	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9601	19.0921	4.66879	2.46209	0.494739	radar	2.96764	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7384	19.2091	4.68736	2.50515	0.515644	lidar	2.77988	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5462	19.3655	4.72301	2.5295	0.520523	radar	3.26023	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3094	19.5372	4.84739	2.55478	0.518428	lidar	0.815142	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.087	19.6164	4.81206	2.6104	0.568685	radar	10.074	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8792	19.7634	4.84834	2.62971	0.557864	lidar	0.734239	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6935	19.8857	4.78681	2.63152	0.49602	radar	3.03355	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.454	20.0474	4.89966	2.6469	0.483716	lidar	1.15882	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
